Youtuber,subscribers,video views,category,uploads,lowest_monthly_earnings,highest_monthly_earnings,created_year
America's Got Talent,24800000,3699352704,Entertainment,1894,33600,537600,2006
mujjuu___14,24800000,14655527943,People & Blogs,872,100100,1600000,2020
EminemVEVO,24700000,20531704527,Music,104,34900,557800,2009
Chloe Ting,24700000,2994726412,Howto & Style,412,5800,93100,2011
KatyPerryVEVO,24600000,23755792542,Music,175,22200,355800,2009
Mark Rober,24600000,3647987299,Science & Technology,120,22200,354500,2011
1theK (ï¿½ï¿½ï¿½ï¿½ï,24500000,23962070944,Music,18950,26400,422300,2011
Like Nastya AE,24400000,12385924995,Entertainment,658,42500,679500,2018
Amit Bhadana,24300000,2380248899,Entertainment,17,0,0.02,2009
Pen Movies,24300000,6608773195,Film & Animation,1667,23700,379400,2014
MrBeast en Espaï¿½ï,24200000,2700914170,Entertainment,67,8400,134400,2021
shfa show India,24200000,15724160183,nan,469,37800,604800,2019
Super JoJo - Nursery Rhymes & Kids Songs,24100000,329774870,nan,36,82100,1300000,2019
Alejo Igoa,24100000,10999000479,Comedy,802,100400,1600000,2014
Daniel LaBelle,24100000,12916159065,Comedy,287,99700,1600000,2009
netd mï¿½ï¿,24100000,56106087508,Music,23491,106200,1700000,2014
DJ Snake,24100000,8425505919,Music,252,15800,253200,2008
Diana and Roma ARA,24100000,11041261296,nan,590,16700,267500,2019
KSI,24100000,6002166932,Entertainment,1252,1400,21800,2009
Spider Slack,24000000,13943030228,Comedy,901,190400,3000000,2020
Goldmines Movies,24000000,5652938599,Film & Animation,3,0,0.01,2018
Preston,24000000,8279004442,Gaming,4009,37900,606800,2012
James Charles,23900000,4067878931,Entertainment,505,14500,232500,2015
Collins Key,23900000,6582932625,Entertainment,257,2700,43400,2011
Diana and Roma EN,23900000,7213499085,People & Blogs,511,44400,711100,2011
Venus Entertainment,23800000,5663125358,Entertainment,70,8,127,2016
Troom Troom,23800000,10414479943,Howto & Style,2425,24500,392200,2015
Enrique Iglesias,23800000,17688774915,Music,443,30700,491700,2007
Ninja,23700000,2543809954,Gaming,1732,2100,33500,2011
FaZe Rug,23700000,7451792132,Gaming,0,0,0,2012
Mister Max,23700000,15510153803,People & Blogs,1099,8200,131300,2014
That Little Puff,23700000,20289689389,Pets & Animals,769,188800,3000000,2020
NickyJamTV,23600000,15901824841,Music,392,19500,311700,2012
Juan De Dios Pantoja,23600000,2135644776,Entertainment,226,11700,187400,2014
Logan Paul,23600000,5994002464,Entertainment,719,2700,43200,2015
Maya and Mary,23600000,6766461070,Entertainment,552,11100,178200,2013
Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,23600000,7920637200,Film & Animation,1251,13400,214400,2014
Jelly,23500000,14777034543,Gaming,6066,10400,166700,2014
Miss Katy,23500000,14696994366,People & Blogs,1044,14900,238500,2014
Tilak,23400000,9465863821,Film & Animation,6672,91800,1500000,2020
Valentina Pontes ofc,23400000,7926899136,Film & Animation,1291,7100,113100,2014
Sesame Street,23300000,22471357411,Entertainment,3657,31000,496700,2006
Happy Lives,23200000,2634,Science & Technology,1,0,0,2016
Lady Gaga,23200000,15751661213,People & Blogs,172,35800,572700,2008
Akshay Nagwadiya,23200000,7966720147,Entertainment,595,80300,1300000,2017
Wave Music Bhojpuri,23100000,12889240875,Music,22578,13200,210700,2014
GMM GRAMMY OFFICIAL,23100000,25579831081,Music,15462,32600,520900,2010
TED,23100000,2551113422,People & Blogs,4445,3300,53000,2006
unknown boy varun,23100000,9299371231,Music,456,76000,1200000,2016
Kids TV - Nursery Rhymes And Baby Songs,23100000,13151870846,Shows,3781,32100,513800,2013
Tsuriki Show,23000000,31494513067,Entertainment,2905,189200,3000000,2019
Technical Guruji,23000000,3378047383,Science & Technology,5041,5600,89000,2015
DrossRotzank,23000000,6041264489,Entertainment,1598,8900,142200,2006
White Hill Music,23000000,10939966484,Entertainment,5718,23300,372700,2014
Ultra Movie Parlour,22900000,5320485069,Movies,1670,0,0,2011
Alan Becker,22900000,5380073627,Film & Animation,0,0,0,2006
toyorbabytv,22900000,16298342829,Music,1159,42300,676200,2012
BabyBus - Canciones Infantiles & Videos para Niï¿½ï,22900000,13206471140,Education,1251,34200,547300,2018
KL BRO Biju Rithvik,22800000,17988347989,Entertainment,1841,508100,8100000,2020
Vania Mania Kids,22700000,10115316784,People & Blogs,985,38800,620900,2015
Like Nastya PRT,22700000,11568118121,Entertainment,654,24200,386500,2019
Sun TV,22600000,20847038152,People & Blogs,60964,245600,3900000,2016
Heroindori,22600000,9223534599,Comedy,495,99800,1600000,2020
The Chainsmokers,22600000,14231943358,Music,180,20400,326600,2012
mmoshaya,22600000,17507060680,People & Blogs,1189,18500,295300,2010
Sia,22600000,13405849040,Music,171,23800,381000,2007
LeoNata Family,22600000,27084848152,People & Blogs,2321,293500,4700000,2021
Goldmines Cineplex,22500000,2431154438,Film & Animation,3377,12200,195000,2015
Vlad and Niki Arabic,22500000,10613701948,nan,526,16300,260300,2018
SSundee,22500000,13835173331,Gaming,3315,43800,700400,2009
Paulo Londra,22400000,8040036209,Music,58,18100,289000,2016
Smile Family,22300000,8663830163,People & Blogs,34,0.18,3,2019
FGTeeV,22300000,24059336857,Gaming,1724,33000,528400,2013
Kinder Spielzeug Kanal (Kidibli),22200000,11136266461,Entertainment,999,34800,557300,2015
Charlie Puth,22000000,9924807127,Music,157,27900,446000,2009
Vlad and Niki ESP,22000000,8594440895,nan,515,46000,735500,2018
Sagawa /ï¿½ï¿½ï¿½,22000000,18347969186,Entertainment,6274,177800,2800000,2021
Ben Azelart,21900000,4454917643,Film & Animation,301,46200,739800,2014
Zach Choi ASMR,21900000,5918314128,People & Blogs,946,58600,936900,2014
Topper Guild,21900000,15552070846,Comedy,816,171800,2700000,2014
Disney Latinoamï¿½ï¿½,21900000,20657571751,Entertainment,116,1,19,2008
Stokes Twins,21800000,4469711607,People & Blogs,257,49500,791800,2008
National Geographic,21800000,5614621131,Science & Technology,10162,11500,183200,2006
Dua Lipa,21800000,11288359365,Music,164,32000,512200,2011
OneDirectionVEVO,21800000,12140232004,Music,266,12800,204500,2010
Rotana,21800000,19329351143,Music,135,3,42,2011
Netflix India,21800000,7780934187,People & Blogs,1,0,0,2017
Sourav Joshi Vlogs,21700000,9392093496,People & Blogs,1390,66300,1100000,2019
ZAMZAM ELECTRONICS TRADING,21700000,8507818877,nan,15126,399600,6400000,2020
DUDU e CAROL,21600000,9597894786,Autos & Vehicles,2942,48300,772700,2013
Village Cooking Channel,21600000,5863377051,Howto & Style,219,48700,778400,2018
Eva Bravo Play,21600000,9346383505,Entertainment,228,16000,255700,2019
Tekashi 6ix9ine,21500000,5890180734,People & Blogs,51,28400,454200,2018
Tlnovelas,21500000,15013096899,News & Politics,158,4,62,2014
SMOL,21500000,22065582014,People & Blogs,6,0,0.01,2006
invictor,21500000,8409641722,Gaming,17,0.01,0.2,2016
YOLO,21400000,1573058816,Comedy,0,0,0,2013
Sidhu Moose Wala,21400000,6264261757,Music,114,40200,642800,2017
The Royalty Family,21300000,6269945014,People & Blogs,733,40100,640900,2017
Becky G,21300000,10644857969,Music,78,25800,412700,2011
Ishaan Ali 11,21300000,12761253839,People & Blogs,951,182400,2900000,2016
Infinite,21300000,5141834668,Entertainment,1608,17100,273400,2014
Azhan5star,21300000,10047736580,Entertainment,669,59100,945200,2021
Dangal TV Channel,21300000,12895427184,Entertainment,20225,140300,2200000,2017
Khan GS Research Centre,21200000,2073073070,Education,1,0,0,2017
GMA Public  Affairs,21200000,11364908616,Entertainment,31989,35600,569300,2009
Tasty,21100000,5783557209,Howto & Style,4728,6200,98800,2016
Baim Paula,21100000,4526271677,People & Blogs,2325,6700,107900,2016
